artist_mbid,artist_name,artist_key
390ff98c-0614-4927-8b94-db7b40a92bbe,Toquinho,toquinho
,LucidBeatz,lucidbeatz
,Dennis,dennis
,Beach Weather,beach weather
d8e07579-ff5a-41f2-b7a7-c71880b8287a,d4vd,d4vd
502cf908-9921-48bc-bf0e-265c881c0156,sombr,sombr
d1338719-b2e2-45d6-a457-671232f553d4,Hotel Ugly,hotel ugly
74928188-8b3d-4aaa-8c04-6f3af45d8c46,Teto,teto
,MD Chefe,md chefe
,Chris Brown,chris brown
100b8734-f4f0-4536-9960-47f7c59d1b4c,Gunna,gunna
01d3c51b-9b98-418a-8d8e-37f6fab59d8c,Sufjan Stevens,sufjan stevens
,Oasis,oasis
64b94289-9474-4d43-8c93-918ccc1920d1,Billy Joel,billy joel
eeb1195b-f213-4ce1-b28c-8565211f8e43,Guns N' Roses,guns n' roses
800760de-bdf8-43a2-8fe0-44a2401a5515,Young Thug,young thug
c98d40fd-f6cf-4b26-883e-eaa515ee2851,The Cranberries,the cranberries
,KayBlack,kayblack
c8e13148-c14a-4d07-95ef-f53d31e49e10,Rubel,rubel
,Los Hermanos,los hermanos
4bd95eea-b9f6-4d70-a36c-cfea77431553,Alice in Chains,alice in chains
83d91898-7763-47d7-b03b-b92132375c47,Pink Floyd,pink floyd
5182c1d9-c7d2-4dad-afa0-ccfeada921a8,Black Sabbath,black sabbath
b10bbbfc-cf9e-42e0-be17-e2c3e1d2600d,The Beatles,the beatles
859d0860-d480-4efd-970c-c05d5f1776b8,Beyoncé,beyoncé
e0bce080-b2b8-4140-a0f2-ccc886ffad8c,Filipe Ret,filipe ret
,Pineapple StormTV,pineapple stormtv
,BK,bk
,DJ Katrip,dj katrip
6cdf7825-577b-4689-92f9-4df5c8bafe4b,Chezile,chezile
89ea85c2-c90a-46ea-93db-9bed95d5c8f8,Surf Curse,surf curse
1882fe91-cdd9-49c9-9956-8e06a3810bd4,Sabrina Carpenter,sabrina carpenter
056e4f3e-d505-4dad-8ec1-d04f521cbb56,Daft Punk,daft punk
e0e1db18-f7ba-4dee-95ff-7ae8cf545460,Kid Cudi,kid cudi
9854d99f-d954-4c0f-9ae5-58a0cdd885f5,Crowded House,crowded house
a0723a3c-4135-438e-85c5-012712144ede,Don Toliver,don toliver
,Darci,darci
8970d868-0723-483b-a75b-51088913d3d4,Moby,moby
776dbbce-25aa-411e-b344-ac9067d39f17,SiR,sir
77b58baf-ad0e-4729-8890-16c894026716,Maneva,maneva
,Xamã,xamã
,Tz da Coronel,tz da coronel
,Veigh,veigh
3b38041b-47b5-4720-a3ac-be1ec51a80ae,Mc Pedrinho,mc pedrinho
,Mc Tuto,mc tuto
,GustXv,gustxv
,MC Menor da VG,mc menor da vg
,Perera DJ,perera dj
,Rich Fayden,rich fayden
,TENZOO,tenzoo
,MC Davi,mc davi
94bf0f2c-660a-4fb0-8cea-7f1816d7f057,Eamon,eamon
a21b2652-62ed-4767-a3d2-0aa802abf080,Chet Faker,chet faker
,alt-J,alt-j
fd1a2d9d-9bb6-44de-83a3-41560658aba9,Bill Withers,bill withers
c48d4327-8122-4286-af66-05e1ee6ac4d8,Mazzy Star,mazzy star
7c7f9c94-dee8-4903-892b-6cf44652e2de,Tears for Fears,tears for fears
47c8f88b-987a-4b64-9175-2b1b57809727,Billy Idol,billy idol
9e0e2b01-41db-4008-bd8b-988977d6019a,The Police,the police
,Lilly Wood & The Prick,lilly wood & the prick
163218c2-9e0f-4d2d-aecb-ebbdef6aab70,Robin Schulz,robin schulz
,J. Eskine,j. eskine
,Mario,mario
,MAZILI,mazili
,Ne-Yo,ne-yo
4be3b2fa-0b31-445c-babf-475944be8971,Mr.Kitty,mr.kitty
4da5b7b4-8f81-43fa-ada2-bb788ee506b7,Orochi,orochi
,ResenhaDaBlakk,resenhadablakk
650726c6-cda9-4fc6-aac5-291e8628dfdf,Yago Oproprio,yago oproprio
c3c82bdc-d9e7-4836-9746-c24ead47ca19,Mark Ronson,mark ronson
5263ef58-2c3d-40be-9146-d8192001f905,Chance Peña,chance peña
51c76d97-0635-433c-b26d-66beb81657f8,Lord Huron,lord huron
04bac789-bf59-4383-8ad7-799d20d969f7,Modjo,modjo
1138a764-2212-4d0a-b02d-0dc14df91e08,Akon,akon
8dd98bdc-80ec-4e93-8509-2f46bafc09a7,Calvin Harris,calvin harris
e21857d5-3256-4547-afb3-4b6ded592596,Gorillaz,gorillaz
