timestamp_utc,timestamp_uts,track_url,track_name,artist_name
2025-01-29 14:07:23,1738170443,https://www.last.fm/music/Drake/_/No+Friends+in+the+Industry,No Friends in the Industry,Drake
2025-01-28 18:36:49,1738100209,https://www.last.fm/music/Kanye+West/_/Real+Friends,Real Friends,Kanye West
2025-01-28 14:02:45,1738083765,https://www.last.fm/music/Dennis/_/Vamos+Beber+(Joga+o+Copo+Pro+Alto),Vamos Beber (Joga o Copo Pro Alto),Dennis
2025-01-28 11:16:56,1738073816,https://www.last.fm/music/sombr/_/do+i+ever+cross+your+mind,do i ever cross your mind,sombr
2025-01-27 18:49:03,1738014543,https://www.last.fm/music/Teto/_/M4,M4,Teto
2025-01-27 18:46:59,1738014419,https://www.last.fm/music/MD+Chefe/_/Fragr%C3%A2ncia+-+Remix+(feat.+PL+Quest),Fragrância - Remix (feat. PL Quest),MD Chefe
2025-01-24 18:39:35,1737754775,https://www.last.fm/music/Drake/_/Make+Me+Proud,Make Me Proud,Drake
2025-01-23 20:45:56,1737675956,https://www.last.fm/music/Drake/_/Make+Me+Proud,Make Me Proud,Drake
2025-01-22 17:17:03,1737577023,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2025-01-22 14:55:06,1737568506,https://www.last.fm/music/The+Weeknd/_/Timeless+(with+Playboi+Carti),Timeless (with Playboi Carti),The Weeknd
2025-01-21 16:31:31,1737487891,https://www.last.fm/music/The+Weeknd/_/Timeless+(with+Playboi+Carti),Timeless (with Playboi Carti),The Weeknd
2025-01-21 15:16:34,1737483394,https://www.last.fm/music/SiR/_/John+Redcorn,John Redcorn,SiR
2025-01-21 10:07:01,1737464821,https://www.last.fm/music/Kanye+West/_/Real+Friends,Real Friends,Kanye West
2025-01-20 13:36:39,1737390999,https://www.last.fm/music/SiR/_/John+Redcorn,John Redcorn,SiR
2025-01-20 13:26:27,1737390387,https://www.last.fm/music/Drake/_/Don%E2%80%99t+Matter+To+Me+(with+Michael+Jackson),Don’t Matter To Me (with Michael Jackson),Drake
2025-01-19 18:19:20,1737321560,https://www.last.fm/music/Teto/_/M4,M4,Teto
